Product ID (on Jumbo.com),Item nr,EAN,Item description,Netto inh.,Kode CE,BasisEH-X-,Verp.CE,Price range,Presentation Group,Fresh / Dry grocery,Price J1 16-1,Price J2 16-1,Price J3 16-1,,,,,Different price?,,,,Differnet price?
54386STK,54386,8711715887979,JUMBO PATE ZALM          ,400,GR     ,STK,STK,JZ,Kattenvoer,DG,"0,47","0,47","0,47",,,,no match ,,,,http://www.hoogvliet.com/product/perfekt-adult-pat-met-zalm?tracking=|searchterm:Pat%C3%A9|met%20Zalm,
22136PAK,22136,8714719027310,BIO+ BIO ROOMBOTER       ,250,GR     ,PAK,PAK,A,Marg/Vet,DG,"1,69","1,69","1,69",,,,http://www.ah.nl/producten/product/wi58082/ah-biologisch-roomboter-ongezouten,,,,http://www.hoogvliet.com/product/vecozuivel-biologische-roomboter-ongezouten?tracking=|searchterm:Roomboter,
51781PAK,51781,8715300237491,CAMPIN BOTERG BAK & BRAAD,200,GR     ,PAK,PAK,A,Marg/Vet,DG,"1,39","1,35","1,35",,,,http://www.ah.nl/producten/product/wi171210/campina-botergoud-roomboter-voor-bakken-en-braden,,,,http://www.hoogvliet.com/product/campina-botergoud-bakken-braden?tracking=|searchterm:Campina|Botergoud,
75791PAK,75791,5740900401365,LURPAK LICHT GEZOUT. KUIP,250,GR     ,PAK,PAK,A,Marg/Vet,DG,"1,79","1,79","1,79",,,,http://www.ah.nl/producten/product/wi172762/lurpak-roomboter-smeerbaar-gezouten,,,,no match ,
97810FLS,97810,8712100373374,B BAND VLB RBOTR 12X500ML,500,ML     ,FLS,FLS,A,Marg/Vet,DG,"1,65","1,63","1,63",,,,http://www.ah.nl/producten/product/wi214656/blue-band-vloeibaar-roomboter,,,,http://www.hoogvliet.com/product/blue-band-roombotersmaak-vloeibaar?tracking=|searchterm:Roombotersmaak|,
133642KP,133642,8712100358135,BERTOL MELANGE ZACHT     ,225,GR     ,KP,KP,A,Marg/Vet,DG,"1,59","1,54","1,54",,,,http://www.ah.nl/producten/product/wi214663/bertolli-met-roomboter-en-olijfolie,,,,http://www.hoogvliet.com/product/bertolli-zacht-met-roomboter-en-olijfolie?tracking=|searchterm:Bertolli|Zacht%20met%20Boter,
187836PAK,187836,8712800007722,CAMPIN BOTERG GEZOUTEN   ,250,GR     ,PAK,PAK,A,Marg/Vet,DG,"1,43","1,43","1,43",,,,http://www.ah.nl/producten/product/wi138503/campina-botergoud-gezouten-roomboter,,,,http://www.hoogvliet.com/product/campina-botergoud-gezouten-roomboter?tracking=|searchterm:Campina|Botergoud,
476864PAK,476864,8712800005612,CAMPIN BOTERG ONGEZOUT   ,250,GR     ,PAK,PAK,A,Marg/Vet,DG,"1,45","1,43","1,43",,,,http://www.ah.nl/producten/product/wi60374/campina-botergoud-ongezouten-roomboter,,,,http://www.hoogvliet.com/product/campina-botergoud-roomboter-ongezouten1?tracking=|searchterm:Campina|Botergoud,
80329PAK,80329,5410603018329,H.DAIRY ROOMBOTER        ,250,GR     ,PAK,PAK,C,Marg/Vet,DG,"0,99","0,99","0,99",,,,http://www.ah.nl/producten/product/wi184764/ah-basic-roomboter,,,,http://www.hoogvliet.com/product/ruitjes-roomboter-ongezouten?tracking=|searchterm:pure|roomboter,
81057STK,81057,8710448501237,ROLAND MARGARINE WIKKEL  ,250,GR     ,STK,STK,C,Marg/Vet,DG,"0,38","0,38","0,38",,,,http://www.ah.nl/producten/product/wi127736/ah-basic-margarine,,,,http://www.hoogvliet.com/product/ruitjes-margarine?tracking=|searchterm:Roland|Margarine,
68821PAK,68821,8718375471609,JUMBO GOUD ONGEZOUTEN    ,250,GR     ,PAK,PAK,JZ,Marg/Vet,DG,"1,29","1,29","1,29",,,,http://www.ah.nl/producten/product/wi193236/ah-roomboter-ongezouten,,,,http://www.hoogvliet.com/product/melkan-roomboter-ongezouten?tracking=|searchterm:ONGEZOUTEN|,
68908KP,68908,8718375471623,JUMBO KUIP GEZOUTEN      ,225,GR     ,KP,KP,JZ,Marg/Vet,DG,"1,39","1,39","1,39",,,250g,http://www.ah.nl/producten/product/wi127486/ah-smeerbare-roomboter-gezouten,Yes,,,no match ,
68940KP,68940,8718375471630,JUMBO KUIP ONGEZOUTEN    ,225,GR     ,KP,KP,JZ,Marg/Vet,DG,"1,59","1,59","1,59",,,250g,http://www.ah.nl/producten/product/wi127487/ah-smeerbare-roomboter-ongezouten,Yes,,,http://www.hoogvliet.com/product/melkan-smeerbare-roomboter-ongezouten?tracking=|searchterm:Roomboter|Gezouten,
53415PAK,53415,8718182431155,BIO+ MELK HALFVOL 1L BIO ,1.000,ML     ,PAK,PAK,A,Melkdrank,DG,"0,95","0,89","0,89",,,,http://www.ah.nl/producten/product/wi108655/ah-puur-en-eerlijk-biologische-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/bio-biologische-halfvolle-melk-houdbaar?tracking=|searchterm:Houdbare|Halfvolle,
68393PAK,68393,8712800010470,CAMPIN MELK HV HOUDBAAR  ,1.000,ML     ,PAK,PAK,A,Melkdrank,DG,"1,03","1,03","1,03",,,,http://www.ah.nl/producten/product/wi166350/campina-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/campina-verse-halfvolle-melk2?tracking=|searchterm:Campina|Halfvolle%20Houdba,
92706PAK,92706,8718166007512,ARLA BIO MELK HV         ,1.000,ML     ,PAK,PAK,A,Melkdrank,DG,"1,12","1,12","1,12",,,,http://www.ah.nl/producten/product/wi209789/arla-biologische-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/arla-biologische-halfvolle-melk?tracking=|searchterm:Arla|Biologische%20Halfvolle,
49607STK,49607,8711715879981,JUMBO UHT MAGERE MELK 1LT,1.000,ML     ,STK,STK,JZ,Melkdrank,DG,"0,66","0,66","0,66",,,,http://www.ah.nl/producten/product/wi127508/ah-magere-melk-houdbaar,,,,http://www.hoogvliet.com/product/perfekt-magere-melk-houdbaar?tracking=|searchterm:Houdbare|Magere%20Melk,
49608STK,49608,8711715879998,JUMBO UHT VOLLE MELK 1L  ,1.000,ML     ,STK,STK,JZ,Melkdrank,DG,"0,77","0,77","0,77",,,,http://www.ah.nl/producten/product/wi127507/ah-volle-melk-houdbaar,,,,http://www.hoogvliet.com/product/perfekt-volle-melk-houdbaar?tracking=|searchterm:Houdbare|Volle%20Melk,
49609STK,49609,8711715879967,JUMBO UHT HALFVOLLE MELK ,1.000,ML     ,STK,STK,JZ,Melkdrank,DG,"0,71","0,71","0,71",,,,http://www.ah.nl/producten/product/wi127506/ah-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/perfekt-halfvolle-melk-houdbaar?tracking=|searchterm:Houdbare|Halfvolle%20Melk,
54911PAK,54911,8711715880154,JUMBO MELK HALFV. 6X1L.  ,6,ST     ,PAK,PAK,JZ,Melkdrank,DG,"3,95","3,95","3,95",,,,http://www.ah.nl/producten/product/wi191453/ah-houdbare-halfvolle-melk,,,,no match ,
81058PAK,81058,8718449036420,JUMBO MELK HALFVOL 6PK   ,1.200,ML     ,PAK,PAK,JZ,Melkdrank,DG,"1,60","1,60","1,60",,,,http://www.ah.nl/producten/product/wi130270/ah-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/perfekt-halvolle-melk-houdbaar-6-pak?tracking=|searchterm:Houdbare|Halfvolle%20Melk,
22072FLS,22072,8710453160009,REDDY ZONNEBLOEMOLIE     ,1.000,ML     ,FLS,FLS,A,Olie/Witv,DG,"1,95","1,85","1,85",,,,http://www.ah.nl/producten/product/wi211394/reddy-zonnebloemolie,,,,http://www.hoogvliet.com/product/reddy-zonnebloemolie?tracking=|searchterm:Reddy|Puur,
522979FLS,522979,8718026420062,BIO+ ZONNEBLOEMOLIE      ,1.000,ML     ,FLS,FLS,A,Olie/Witv,DG,"2,39","2,29","2,29",,,,http://www.ah.nl/producten/product/wi67845/ah-puur-en-eerlijk-biologische-zonnebloemolie,,,,http://www.hoogvliet.com/product/bio-biologische-zonnebloemolie?tracking=|searchterm:Bio+|Zonnebloemolie,
58749FLS,58749,8711715805997,JUMBO ARACHIDE OLIE      ,1.000,ML     ,FLS,FLS,JZ,Olie/Witv,DG,"2,39","2,39","2,39",,,,http://www.ah.nl/producten/product/wi38006/ah-arachide-olie,,,,http://www.hoogvliet.com/product/perfekt-arachideolie?tracking=|searchterm:arachide,
70576FLS,70576,8718449011885,JUMBO SLA OLIE           ,1.000,ML     ,FLS,FLS,JZ,Olie/Witv,DG,"1,49","1,49","1,49",,,,http://www.ah.nl/producten/product/wi129601/ah-slaolie,,,,http://www.hoogvliet.com/product/perfekt-slaolie?tracking=|searchterm:Slaolie|,
18355STK,18355,5029053021669,PAGE TP KUSSENZ 6ROL     ,6,ST     ,STK,STK,A,Papierwar,DG,"2,52","2,49","2,49",,,,http://www.ah.nl/producten/product/wi135841/page-kussenzacht-toiletpapier,,,,http://www.hoogvliet.com/product/page-toiletpapier-kussenzacht?tracking=|searchterm:page,
59295ZK,59295,5029053033198,PAGE GROEN & ZACHT       ,8,ST     ,ZK,ZK,A,Papierwar,DG,"2,75","2,69","2,69",,,,http://www.ah.nl/producten/product/wi186630/page-groen-en-zacht-toiletpapier,,,,http://www.hoogvliet.com/product/page-toiletpapier-groen-zacht?tracking=|searchterm:page,
513209PAK,513209,5029053027487,PAGE 8-ROL ORIGINAL      ,8,ST     ,PAK,PAK,A,Papierwar,DG,"2,52","2,49","2,49",,,,http://www.ah.nl/producten/product/wi80283/page-toiletpapier,,,,http://www.hoogvliet.com/product/page-toiletpapier-original1?tracking=|searchterm:page,
513300ZK,513300,5029053027548,PAGE TP DUBBELLANG 4RL   ,4,ST     ,ZK,ZK,A,Papierwar,DG,"2,75","2,69","2,69",,,,http://www.ah.nl/producten/product/wi129481/page-dubbellang-toiletpapier,,,,http://www.hoogvliet.com/product/page-toiletpapier-dubbel-lang?tracking=|searchterm:page,
693308STK,693308,8710300495001,POPLA TP MEGAROL 4-ROL   ,4,ST     ,STK,STK,A,Papierwar,DG,"2,46","2,39","2,39",,,,http://www.ah.nl/producten/product/wi43243/popla-megarol-toiletpapier,,,,http://www.hoogvliet.com/product/popla-toiletpapier-megarol?tracking=|searchterm:popla,
130311PAK,130311,8718449070776,JUMBO 12ROL 2LGS 200VL   ,12,ST     ,PAK,PAK,JZ,Papierwar,DG,"2,99","2,99","2,99",,,16,http://www.ah.nl/producten/product/wi167086/ah-toiletpapier-zacht-2-laags,,,,http://www.hoogvliet.com/product/perfekt-toiletpapier-2-laags?tracking=|searchterm:Zacht|2-Laags%20Toiletpapier,
130312PAK,130312,8718449070783,JUMASK TP 10RL 3LGS 200VL,10,ST     ,PAK,PAK,JZ,Papierwar,DG,"2,99","2,99","2,99",,,,no match ,,,8,http://www.hoogvliet.com/product/perfekt-toiletpapier-3-laags?tracking=|searchterm:toiletpapier,
130314PAK,130314,8718449070806,JUMASK TP 10RL 4LGS 160VL,10,ST     ,PAK,PAK,JZ,Papierwar,DG,"3,09","3,09","3,09",,,16,http://www.ah.nl/producten/product/wi127835/ah-zacht-en-extra-sterk-toiletpapier-4-lagen,,,4,http://www.hoogvliet.com/product/perfekt-toiletpapier-4-laags1?tracking=|searchterm:4|laags,
135062FLS,135062,8714789880532,PALMOL ELKE DAG SHAMPOO  ,350,ML     ,FLS,FLS,A,Shampoo,DG,"1,89","1,85","1,85",,,,http://www.ah.nl/producten/product/wi221543/palmolive-shampoo-naturals-elke-dag,,,,http://www.hoogvliet.com/product/palmolive-shampoo-elke-dag5?tracking=|searchterm:palmolive,
86333FLS,86333,8718449024564,JUMBO SHAMPOO NORMAAL    ,500,ML     ,FLS,FLS,JZ,Shampoo,DG,"0,95","0,95","0,95",,,300ml,http://www.ah.nl/producten/product/wi166955/ah-shampoo-iedere-dag,,,,no match ,
59266FLS,59266,8712566175895,CALVE SLASAUS YOGHURT    ,450,ML     ,FLS,FLS,A,Slabenodig,DG,"1,25","1,23","1,23",,,,http://www.ah.nl/producten/product/wi148030/calve-slasaus-yoghurt,,,,http://www.hoogvliet.com/product/calv-slasaus-yoghurt?tracking=|searchterm:Calv%C3%A9|Yoghurt%20Slasaus,
59267FLS,59267,8712566175802,CALVE SLASAUS HALFVOL    ,450,ML     ,FLS,FLS,A,Slabenodig,DG,"1,25","1,23","1,23",,,,http://www.ah.nl/producten/product/wi177661/calve-slasaus-halfvol,,,,http://www.hoogvliet.com/product/calv-slasaus-halfvol?tracking=|searchterm:Calv%C3%A9|Yoghurt%20Slasaus,
59448FLS,59448,8712566175567,CALVE SLASAUS NATUREL    ,450,ML     ,FLS,FLS,A,Slabenodig,DG,"1,04","1,02","1,02",,,,http://www.ah.nl/producten/product/wi148031/calve-slasaus-naturel,,,,http://www.hoogvliet.com/product/calv-slasaus-naturel?tracking=|searchterm:Calv%C3%A9|Yoghurt%20Slasaus,
892882FLS,892882,87221435,G GLOR SLASAUS           ,500,ML     ,FLS,FLS,A,Slabenodig,DG,"1,05","0,79","1,05",,,,http://www.ah.nl/producten/product/wi210809/gouda-s-glorie-hollandse-slasaus,,,,http://www.hoogvliet.com/product/gouda-apos-s-glorie-slasaus?tracking=|searchterm:Gouda%27s|Glorie%20Slasaus,
42584FLS,42584,8711715847690,JUMBO DRESSING NATUREL   ,450,ML     ,FLS,FLS,JZ,Slabenodig,DG,"1,04","1,04","1,04",,,,http://www.ah.nl/producten/product/wi163261/ah-naturel-sladressing,,,,http://www.hoogvliet.com/product/perfekt-dressing-naturel?tracking=|searchterm:|Naturel%20Dressing,
42585FLS,42585,8711715847706,JUMBO DRESSING YOGHURT   ,450,ML     ,FLS,FLS,JZ,Slabenodig,DG,"1,04","1,04","1,04",,,,http://www.ah.nl/producten/product/wi163259/ah-yoghurt-sladressing,,,,http://www.hoogvliet.com/product/perfekt-dressing-yoghurt?tracking=|searchterm:Yoghurt|Dressing,
57373FLS,57373,8711715818881,JUMBO SLASAUS            ,500,ML     ,FLS,FLS,JZ,Slabenodig,DG,"0,91","0,91","0,91",,,,http://www.ah.nl/producten/product/wi37785/ah-slasaus,,,,http://www.hoogvliet.com/product/perfekt-slasaus?tracking=|searchterm:Slasaus,
57376FLS,57376,8711715818898,JUMBO SLASAUS HALFVOL    ,500,ML     ,FLS,FLS,JZ,Slabenodig,DG,"0,95","0,95","0,95",,,,http://www.ah.nl/producten/product/wi104074/ah-halfvolle-slasaus,,,,http://www.hoogvliet.com/product/perfekt-slasaus-halfvol?tracking=|searchterm:Slasaus,
95039ZK,95039,8718449053090,JUMBO CROUTON KNOF/UI    ,50,GR     ,ZK,ZK,JZ,Slabenodig,DG,"0,45","0,45","0,45",,,40g,http://www.ah.nl/producten/product/wi170094/ah-salade-croutons-knoflook,,,,no match ,
95071ZK,95071,8718449053069,JUMBO CROUTON NATUREL    ,50,GR     ,ZK,ZK,JZ,Slabenodig,DG,"0,45","0,45","0,45",,,40g,http://www.ah.nl/producten/product/wi170093/ah-salade-croutons-naturel,,,,no match ,
96045ZK,96045,8718449050792,JUMBO PIJNBOOMPITTEN     ,30,GR     ,ZK,ZK,JZ,Slabenodig,DG,"1,35","1,35","1,35",,,,http://www.ah.nl/producten/product/wi183248/ah-salade-pijnboompitten,,,75g,http://www.hoogvliet.com/product/hoogvliet-pijnboompitten-geroosterd?tracking=|searchterm:pijnboompitten,
47868PAK,47868,8718166011021,ARLA BIO HALFVOLLE MELK  ,1.000,ML     ,PAK,PAK,A,Zuiv Drnk,DG,"1,07","1,07","1,07",,,,http://www.ah.nl/producten/product/wi168925/arla-biologische-halfvolle-melk,,,,http://www.hoogvliet.com/product/arla-biologische-halfvolle-melk?tracking=|searchterm:Arla,
59490PAK,59490,8714719027020,BIO+ HALFVOLLE MELK      ,1.000,ML     ,PAK,PAK,A,Zuiv Drnk,DG,"0,95","0,93","0,93",,,,http://www.ah.nl/producten/product/wi61007/ah-puur-en-eerlijk-biologische-halfvolle-melk,,,,http://www.hoogvliet.com/product/bio-biologische-halfvolle-melk-houdbaar?tracking=|searchterm:halfvolle,
86593PAK,86593,8718166030312,MELKUN GEITENMELK        ,750,ML     ,PAK,PAK,A,Zuiv Drnk,DG,"1,29","1,29","1,29",,,,http://www.ah.nl/producten/product/wi208280/melkunie-geitenmelk,,,,no match ,
526994PAK,526994,8712800001164,CAMPIN HV MELK 1L        ,1.000,ML     ,PAK,PAK,A,Zuiv Drnk,DG,"1,02","0,99","0,99",,,,http://www.ah.nl/producten/product/wi208300/campina-halfvolle-melk,,,,http://www.hoogvliet.com/product/campina-verse-halfvolle-melk2?tracking=|searchterm:campina,
12846PAK,12846,8712800031208,HV MELK                  ,1.000,ML     ,PAK,PAK,C,Zuiv Drnk,DG,"0,59","0,59","0,59",,,,http://www.ah.nl/producten/product/wi3891/ah-basic-halfvolle-melk-houdbaar,,,,http://www.hoogvliet.com/product/verse-halfvolle-melk?tracking=|searchterm:halfvolle|melk,
12847PAK,12847,8712800031215,KARNEMELK                ,1.000,ML     ,PAK,PAK,C,Zuiv Drnk,DG,"0,59","0,59","0,59",,,,http://www.ah.nl/producten/product/wi1503,,,,http://www.hoogvliet.com/product/verse-karnemelk?tracking=|searchterm:karnemelk,
55498PAK,55498,8712800014508,VOLLE MELK               ,1.000,ML     ,PAK,PAK,C,Zuiv Drnk,DG,"0,69","0,69","0,69",,,,http://www.ah.nl/producten/product/wi3890/ah-basic-volle-melk-houdbaar,,,,http://www.hoogvliet.com/product/landhof-volle-melk-houdbaar?tracking=|searchterm:Volle|Melk,
132474CAN,132474,8717953032577,HALFVOLLE MELK           ,2.000,ML     ,CAN,CAN,C,Zuiv Drnk,DG,"1,15","1,15","1,15",,,,http://www.ah.nl/producten/product/wi200486/de-zaanse-hoeve-halfvolle-melk,,,1.5 litre,http://www.hoogvliet.com/product/hoogvliet-verse-halfvolle-melk3?tracking=|searchterm:halfvolle|melk,
31807PAK,31807,8711715872647,JUMBO HV MELK 1LTR       ,1.000,ML     ,PAK,PAK,JZ,Zuiv Drnk,DG,"0,85","0,85","0,85",,,,http://www.ah.nl/producten/product/wi1525/ah-halfvolle-melk,,,,http://www.hoogvliet.com/product/hoogvliet-verse-halfvolle-melk4?tracking=|searchterm:Halfvolle|Melk,
67649PAK,67649,8718449005167,JUMBO HALFVOLLE MELK     ,2.000,ML     ,PAK,PAK,JZ,Zuiv Drnk,DG,"1,49","1,49","1,49",,,, http://www.ah.nl/producten/product/wi200486/de-zaanse-hoeve-halfvolle-melk,,,1.8litre,http://www.hoogvliet.com/product/hoogvliet-verse-halfvolle-melk1?tracking=|searchterm:Halfvolle|Melk,
31688STK,31688,8716376000118,KONING KWARKDESSERT ASS  ,200,GR     ,STK,STK,C,Zuiv Eet,DG,"0,65","0,65","0,65",,,,product not found on Jumbo,,,,product not found on Jumbo,
31692BAK,31692,8716376000293,KONING BIGARDE YOGH.AARDB,500,GR     ,BAK,BAK,C,Zuiv Eet,DG,"0,59","0,49","0,52",,,,no match ,,,,no match ,
65967BAK,65967,5201054921746,TOTAL GRIEKSE YOGHURT 0% ,500,GR     ,BAK,BAK,A,Zuiv Eet,DG,"2,85","2,79","2,79",,,,http://www.ah.nl/producten/product/wi133256/total-griekse-yoghurt-0,,,,http://www.hoogvliet.com/product/total-griekse-yoghurt-naturel-0-vet?tracking=|searchterm:Vetvrije|Griekse%20Yoghurt,
69769BAK,69769,8714719006858,BIO+ MAGERE KWARK        ,450,GR     ,BAK,BAK,A,Zuiv Eet,DG,"1,59","1,49","1,49",,,,http://www.ah.nl/producten/product/wi114817/ah-puur-en-eerlijk-biologische-magere-kwark-naturel,,,,http://www.hoogvliet.com/product/bio-biologische-magere-kwark-naturel?tracking=|searchterm:Bio+|Magere%20Kwark,
86538CUP,86538,8718166030817,MELKUN SLAGROOM K&K      ,500,ML     ,CUP,CUP,A,Zuiv Eet,DG,"1,35","1,15","1,25",,,,can't find,,,,http://www.hoogvliet.com/product/melkunie-slagroom-kant-klaar?tracking=|searchterm:Melkunie|Slagroom%20Kant%20en%20Klaar,
125257CUP,125257,8712800039860,OPTIME YOGH GRIEK PERZIK ,450,GR     ,CUP,CUP,A,Zuiv Eet,DG,"1,70","1,65","1,65",,,,http://www.ah.nl/producten/product/wi216249/optimel-yoghurt-griekse-stijl-perzik,,,150g,http://www.hoogvliet.com/product/campina-optimel-yoghurt-griekse-stijl-perzik1?tracking=|searchterm:Optimel|Yoghurt%20Grieks,
125258CUP,125258,8712800039853,OPTIME YOGH GRIEKS KERS  ,450,GR     ,CUP,CUP,A,Zuiv Eet,DG,"1,70","1,65","1,65",,,,http://www.ah.nl/producten/product/wi216248/optimel-yoghurt-griekse-stijl-kers,,,,http://www.hoogvliet.com/product/campina-optimel-yoghurt-griekse-stijl-kers?tracking=|searchterm:Optimel|Yoghurt%20Griekse,
125259CUP,125259,8712800039846,OPTIME YOGH GRIEK FRAM   ,450,GR     ,CUP,CUP,A,Zuiv Eet,DG,"1,70","1,65","1,65",,,,http://www.ah.nl/producten/product/wi216235/optimel-yoghurt-griekse-stijl-framboos,,,,http://www.hoogvliet.com/product/campina-optimel-yoghurt-griekse-stijl-framboos?tracking=|searchterm:Optimel|Yoghurt%20Griekse%20Stijl,
196339BUS,196339,8711900023625,CAMPIN SLAGROOM ROYALE   ,225,ML     ,BUS,BUS,A,Zuiv Eet,DG,"1,58","1,55","1,55",,,,http://www.ah.nl/producten/product/wi221000/campina-slagroom-royaal,,,,http://www.hoogvliet.com/product/campina-slagroom-royale?tracking=|searchterm:Campina|Slagroom%20Royale,
393185BAK,393185,8716376000187,KONING BIGARDE ROERYOGH. ,500,GR     ,BAK,BAK,C,Zuiv Eet,DG,"0,55","0,55","0,55",,,,no match ,,,,http://www.hoogvliet.com/INTERSHOP/web/WFS/org-webshop-Site/nl_NL/-/EUR/ViewParametricSearch-SimpleOfferSearch?SynchronizerToken=7e572a3e4c00b10beec54ae92254c0a945bb9f9825cf5f2f231365467bdd2891&SearchTerm=Konings+Halfvolle+Bigarde&search=&search=,
510058TUB,510058,8716376000583,KONING MAGERE KWARK      ,500,GR     ,TUB,TUB,C,Zuiv Eet,DG,"0,69","0,65","0,65",,,,http://www.ah.nl/producten/product/wi33791/de-zaanse-hoeve-magere-kwark,,,,no match ,
526929BKR,526929,8712800001911,CAMPIN VERSE SLAGROOM    ,125,ML     ,BKR,BKR,A,Zuiv Eet,DG,"0,59","0,59","0,59",,,250g,http://www.ah.nl/producten/product/wi1496/ah-verse-slagroom,,,,http://www.hoogvliet.com/product/melkan-verse-slagroom?tracking=|searchterm:verse|slagroom,
527087PAK,527087,8712800000785,CAMPIN SLAGROOM VLA  500 ,500,ML     ,PAK,PAK,A,Zuiv Eet,DG,"0,91","0,91","0,91",,,,http://www.ah.nl/producten/product/wi185461/campina-slagroomvla-vanille,,,,http://www.hoogvliet.com/product/campina-slagroom-vanille-vla?tracking=|searchterm:Campina|Vanille%20Slagroomvla,
527089PAK,527089,8712800001256,CAMPIN SLAGROOMVLA VAN   ,1.000,ML     ,PAK,PAK,A,Zuiv Eet,DG,"1,39","1,38","1,38",,,,http://www.ah.nl/producten/product/wi68022/campina-slagroomvla-vanille,,,,http://www.hoogvliet.com/product/campina-vanille-slagroomvla?tracking=|searchterm:Campina|Vanille%20Slagroomvla,
12843PAK,12843,8712800031222,VLA VANILLE              ,1.000,ML     ,PAK,PAK,C,Zuiv Eet,DG,"0,65","0,65","0,65",,,,http://www.ah.nl/producten/product/wi1510/de-zaanse-hoeve-vanille-vla,,,,http://www.hoogvliet.com/product/vanille-vla?tracking=|searchterm:Vanillevla,
12848PAK,12848,8712800031192,MAGERE YOGHURT           ,1.000,ML     ,PAK,PAK,C,Zuiv Eet,DG,"0,59","0,59","0,59",,,,http://www.ah.nl/producten/product/wi1519/de-zaanse-hoeve-magere-yoghurt,,,,http://www.hoogvliet.com/product/magere-yoghurt?tracking=|searchterm:Magere|,
55497PAK,55497,8712800014515,VOLLE YOGHURT            ,1.000,ML     ,PAK,PAK,C,Zuiv Eet,DG,"0,69","0,69","0,69",,,,http://www.ah.nl/producten/product/wi118132/de-zaanse-hoeve-volle-yoghurt,,,, http://www.hoogvliet.com/product/melkan-verse-volle-yoghurt?tracking=|searchterm:volle|yoghurt,
93472TUB,93472,8716376000750,KONING YOGH. GRIEKS 10%  ,500,GR     ,TUB,TUB,C,Zuiv Eet,DG,"0,77","0,77","0,77",,,,no match ,,,, http://www.hoogvliet.com/product/katharos-yoghurt-griekse-stijl?tracking=|searchterm:griekse|yoghurt,
93724STK,93724,8718449056473,JUMBO MAGERE FRANSE KWARK,450,GR     ,STK,STK,JZ,Zuiv Eet,DG,"0,72","0,72","0,72",,,500g,http://www.ah.nl/producten/product/wi63453/ah-magere-franse-kwark,,,,http://www.hoogvliet.com/product/melkan-magere-franse-kwark?tracking=|searchterm:Magere|Franse%20Kwark,
509576BAK,509576,8716376000576,KONING VERSE SLAGROOM 30%,200,ML     ,BAK,BAK,C,Zuiv Eet,DG,"0,49","0,45","0,45",,,,http://www.ah.nl/producten/product/wi34471/ah-basic-houdbare-slagroom,,,,http://www.hoogvliet.com/product/konings-verse-slagroom?tracking=|searchterm:Konings|Slagroom,
517492BKR,517492,8716376000026,KONING CREME FRAICHE     ,200,GR     ,BKR,BKR,C,Zuiv Eet,DG,"0,45","0,45","0,45",,,,http://www.ah.nl/producten/product/wi46745/ah-creme-fraiche,,,,http://www.hoogvliet.com/product/konings-cr-me-fra-che?tracking=|searchterm:Konings|Slagroom,
73380NET,73380,8710251101082,AGF BIO+ KNOFLOOK        ,100,GR     ,NET,NET,A,Aardapplui,Fresh,"0,99","0,99","0,99",,,,http://www.ah.nl/producten/product/wi185774/ah-puur-en-eerlijk-biologische-knoflook,,,,no match ,
82080NET,82080,8718449030190,JUMBO KNOFLOOK VERPAKT   ,100,GR     ,NET,NET,N,Aardapplui,Fresh,"0,69","0,00","0,00",,,,http://www.ah.nl/producten/product/wi4160/ah-knoflook,,,,http://www.hoogvliet.com/product/hoogvliet-knoflook1?tracking=|searchterm:knoflook,
89701ZK,89701,8711715844361,JUMBO STOOMKRIELTJES     ,600,GR     ,ZK,ZK,N,Aardapplui,Fresh,"1,29","0,00","0,00",,,500g,http://www.ah.nl/zoeken/krieltjes-met-schil-vastkokend?rq=Krieltjes,,,,http://www.hoogvliet.com/product/hoogvliet-biologische-kastanje-champignons?tracking=|searchterm:bio|champignons,
73385STK,73385,8710147572866,AGF BIO+ CHAMPIG KASTANJE,250,GR     ,STK,STK,A,Agf Pnkl_1,Fresh,"1,89","1,89","1,89",,,,http://www.ah.nl/producten/product/wi101132/ah-puur-en-eerlijk-biologische-kastanjechampignons,,,,http://www.hoogvliet.com/product/hoogvliet-biologische-kastanjechampignons?tracking=|searchterm:Bio+|Kastanje%20Champignons,
79403BAK,79403,8710147572958,AGF BIO+ CHAMPIGNONS     ,250,GR     ,BAK,BAK,A,Agf Pnkl_1,Fresh,"1,79","1,79","1,79",,,,http://www.ah.nl/producten/product/wi47366/ah-puur-en-eerlijk-biologische-champignons,,,,http://www.hoogvliet.com/product/hoogvliet-biologische-champignons?tracking=|searchterm:champignons,
98258ZK,98258,8718477173012,AGF BIO+ RUCOLA          ,75,GR     ,ZK,ZK,A,Agf Pnkl_1,Fresh,"1,59","1,59","1,59",,,40g,http://www.ah.nl/producten/product/wi163899/ah-puur-en-eerlijk-biologische-rucola,,,,no match ,
151576PAK,151576,8718375474297,JUMBO CHAMPIGNON GESNEDEN,150,GR     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"1,19","1,19","1,19",,,125g,http://www.ah.nl/producten/product/wi41113/ah-champignons-gesneden,,,,no match ,
