sku,vendor_partn,vendor,status,title,notes,our_price,kent_url,homedepot_price,homedepot_url
5243621,SM1034-6,Quinco and Co.,Approved,Bellagio Mosaik Tile 6 Pack,,"$54,99 ",http://www.kent.ca/kbs/en/search.jsp?removeAllFacets=true&addFacet=12015%3Aen%3ASRCH%3A5243621&_requestid=2044030,"$54,99 ",http://www.homedepot.ca/product/6-piece-1013-inch-x-10-inch-peel-and-stick-bellagio-mosaik/807452
12FG1S,12fg1s,Lumber Vendor,Approved,"1/2"" Good-One-Side Fir Plywood",,"$34,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=12FG1S&navAction=jump&prdId=12FG1S&catalogId=151,,
5064009,5040016B,Import Vendor,Approved,"24"" White Vanity and Top",,"$129,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5064009&navAction=jump&prdId=5064009&catalogId=1313,,
2283036,None,Atlantic Windows,Approved,Vision Low E Argon Single Hung Window,,,,,
7128035,None,Electrolux,Approved,"12,000 BTU Portable Air Conditioner",,,,,
6704030,50538,"DVI Lighting, Inc",,Samara Bronze Vanity Fixture Combo,,,,,
705010,DXL424050,CGC Inc.,Approved,4' Fire-Rated Ceiling Cross Tee,,"$3,15 ",http://www.kent.ca/kbs/en/product.jsp?skuId=705010&navAction=jump&prdId=705010&catalogId=3,,
9964700,52125C/S2,PPG Canada Inc.,Approved,Olympic® Deck Cleaner 25% Bonus,,,,,
CO3068B,None,Moulding and Millwork,Approved,6-Panel Interior Bifold Door,,,,,
6804101,60977,Test Rite,Approved,Samara Vanity Fixture Combo,,,,,
5255731,FLAD8.3WO,Taiga Forest Products,Approved,Whiskey Oak 8.3mm Laminate Flooring,,"$25,93 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5255731&navAction=jump&prdId=5255731&catalogId=1192,,
8645040,960480032,Husqvarna Canada,Approved,"Husqvarna 42"" 22 HP Lawn Tractor",,,,,
6441240,,,,,,,,,
2810430,None,Mitten,Approved,White Siding Starter Strip Roll,,,,,
2283220,None,Atlantic Windows,Approved,Vision Low-E Argon Horizontal Slider Window,,,,,
7169000,None,Fiready Inc.,Approved,Firewood,,,,,
2108SDCK,None,Lumber Vendor,Approved,"2"" x 10"" Dimensional Lumber",,,,,
2040905,None,Aluminart Contact,Approved,Newport Storm Door,,,,,
8645009,960480024,Husqvarna Canada,Approved,"Poulan 42"" 17.5 HP Lawn Tractor",,"$1.499,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=8645009&navAction=jump&prdId=8645009&catalogId=580,,
7005283,702724-091-001,"Maax Canada Inc. (Lachine, Beauce, Westco)",Approved,Cocoon Corner Whirlpool,,"$1.049,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7005283&navAction=jump&prdId=7005283&catalogId=632,,
1620725,None,Downeast Plastics Ltd.,Approved,"2"" Thermalite Insulation",,,,,
7160023,CB00001,Stove Builder International,Approved,S244 Century Wood Stove,,"$549,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7160023&navAction=jump&prdId=7160023&catalogId=1206,,
2055100,None,Garaga Inc,Needs Translation,Alterna II Insulated Garage Door,No to view online,,,,
6909013,,,,,,,,,
6848031,CFP3652C,Dimplex North America Ltd.,Approved,Compact Electric Fireplace,,,,,
7005272,102722-091-001,"Maax Canada Inc. (Lachine, Beauce, Westco)",Approved,Cocoon Whirlpool,,"$649,00 ",http://www.kent.ca/kbs/en/product.jsp?skuId=7005272&navAction=jump&prdId=7005272&catalogId=637,,
5080771,,,,,,,,,
5753847,9974,Task Tools & Abrasives,Approved,"3-Piece 10"" Carbide Blade Set",,"$59,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5753847&navAction=jump&prdId=5753847&catalogId=1155,,
6460235,674-500,Sico Inc.,Approved,Sico Select Interior Pearl Latex Paint,,"$34,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6460235&navAction=jump&prdId=6460235&catalogId=2056,,
727550,None,Shaw Group,Approved,"8"" Perforated Cement Block",,,,,
1660100,,,,,,,,,
5055012,,,,,,,,,
7318401,None,Scott's Nursery,Needs Translation,9 Pack Vegetables,No to view online,,,,
7724402,380163,CGC Inc.,Approved,Dust Control Joint Compound 16 kg,,,,,
5531030,,,,,,,,,
727703,None,Shaw Brick,Approved,"18"" x 18"" Patio Block",,,,,
14FG1S,14fg1s,Lumber Vendor,Approved,"1/4"" Good-One-Side Fir Plywood",,"$28,95 ",http://www.kent.ca/kbs/en/product.jsp?skuId=14FG1S&navAction=jump&prdId=14FG1S&catalogId=151,,
1431015,None,Canwel,Approved,Primed MDF Wainscot Panel,,,,,
38ULAY,None,Goodfellow,Approved,8.5mm Underlayment Plywood,,,,,
SALT40,SALT40,Canadian Salt Co. Ltd. (Windsor),Approved,40 Kg Safe-T-Salt,,"$10,49 ",http://www.kent.ca/kbs/en/product.jsp?skuId=SALT40&navAction=jump&prdId=SALT40&catalogId=609,,
6894008,FD-40R,HomeEasy Industrial Co. Ltd.,Approved,"16"" Oscillating Floor Fan",,"$24,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=6894008&navAction=jump&prdId=6894008&catalogId=1639,,
2032080,None,Atlantic Windows,Approved,9-Lite Exterior Steel Door,,,,,
7318601,None,Scott's Nursery,Needs Translation,,No to view online,,,,
3690320,None,Cottage Industry,Approved,Picnic Table Kit,,"$79,99 ",,,
1826132,None,Alexandria Mouldings,Approved,8' Primed MDF Colonial Casing,,"$6,49 ",,,
6846711,RLV4300A1,Honeywell Ltd.,Approved,5-2 Programmable Electric Thermostat,,,,,
2492SDSK,None,Lumber Vendor,Approved,"2"" x 4"" x 92"" Spruce Stud",,"$2,49 ",,,
5255731L,FLAD8.3WO,Taiga Forest Products,Approved,Whiskey Oak 8.3mm Laminate Flooring,,,,,
5039004,HBVP1581-16,Import Vendor,Approved,Classic White Tower,,"$249,99 ",http://www.kent.ca/kbs/en/product.jsp?skuId=5039004&navAction=jump&prdId=5039004&catalogId=1303,,
2040610,None,Aluminart Contact,Approved,"36"" x 80"" Regal 'View-n-Vent' Storm Door",,"$329,00 ",,,
1610310,423001,Roxul,Approved,Roxul ComfortBatt R22 Insulation,,"57,62",http://www.kent.ca/kbs/en/product.jsp?prdId=1610310&skuId=1610310&catalogId=44,"57,26",http://www.homedepot.ca/product/roxul-comfortbatt-r22-for-2x6-studs-16-in-on-centre/900118
R3116,,Owen's Corning Canada LP,,R-31 EcoTouch™ PINK™ FIBERGLAS® Insulation,,"50,12",http://www.kent.ca/kbs/en/product.jsp?prdId=R3116&skuId=R3116&catalogId=44,"51,12",http://www.homedepot.ca/product/r-31-ecotouch-pink-fiberglas-insulation-16-inch-x-48-inch-x-95-inch-427-sq-/925599
