Product,,Sell Price,Cost Price
337300924,180CM H/B SUN COMBINATIONS CHENILLE AQUA/SILVER METALLIC/CHENILLE AQUA,126.99,61
337300925,75CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,66.99,32
337300926,90CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,66.99,32
337300927,105CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,94.99,45.75
337300928,120CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,81.99,39.22
337300929,135CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,81.99,39.22
337300930,150CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,94.99,45.75
337300931,180CM H/B SUN COMBINATIONS CHENILLE AQUA/EBONY METALLIC/CHENILLE AQUA,126.99,61
337300932,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,66.99,32
337300933,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,66.99,32
337300934,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,94.99,45.75
337300935,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,81.99,39.22
337300936,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,81.99,39.22
337300937,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,94.99,45.75
337300938,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BLACK/CHENILLE CHARCOAL,126.99,61
337300939,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,66.99,32
337300940,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,66.99,32
337300941,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,94.99,45.75
337300942,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,81.99,39.22
337300943,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,81.99,39.22
337300944,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,94.99,45.75
337300945,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH BROWN/CHENILLE CHARCOAL,126.99,61
337300946,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,66.99,32
337300947,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,66.99,32
337300948,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,94.99,45.75
337300949,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,81.99,39.22
337300950,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,81.99,39.22
337300951,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,94.99,45.75
337300952,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH MAGNOLIA/CHENILLE CHARCOAL,126.99,61
337300953,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,66.99,32
337300954,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,66.99,32
337300955,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,94.99,45.75
337300956,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,81.99,39.22
337300957,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,81.99,39.22
337300958,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,94.99,45.75
337300959,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH WHITE/CHENILLE CHARCOAL,126.99,61
337300960,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,66.99,32
337300961,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,66.99,32
337300962,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,94.99,45.75
337300963,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,81.99,39.22
337300964,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,81.99,39.22
337300965,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,94.99,45.75
337300966,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/FX LTH RED/CHENILLE CHARCOAL,126.99,61
337300967,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,66.99,32
337300968,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,66.99,32
337300969,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,94.99,45.75
337300970,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,81.99,39.22
337300971,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,81.99,39.22
337300972,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,94.99,45.75
337300973,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/SILVER METALLIC/CHENILLE CHARCOAL,126.99,61
337300974,75CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,66.99,32
337300975,90CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,66.99,32
337300976,105CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,94.99,45.75
337300977,120CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,81.99,39.22
337300978,135CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,81.99,39.22
337300979,150CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,94.99,45.75
337300980,180CM H/B SUN COMBINATIONS CHENILLE CHARCOAL/EBONY METALLIC/CHENILLE CHARCOAL,126.99,61
337300981,75CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,66.99,32
337300982,90CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,66.99,32
337300983,105CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,94.99,45.75
337300984,120CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,81.99,39.22
337300985,135CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,81.99,39.22
337300986,150CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,94.99,45.75
337300987,180CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BLACK/CHENILLE GREY,126.99,61
337300988,75CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,66.99,32
337300989,90CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,66.99,32
337300990,105CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,94.99,45.75
337300991,120CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,81.99,39.22
337300992,135CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,81.99,39.22
337300993,150CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,94.99,45.75
337300994,180CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH BROWN/CHENILLE GREY,126.99,61
337300995,75CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,66.99,32
337300996,90CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,66.99,32
337300997,105CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,94.99,45.75
337300998,120CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,81.99,39.22
337300999,135CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,81.99,39.22
337301000,150CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,94.99,45.75
337301001,180CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH MAGNOLIA/CHENILLE GREY,126.99,61
337301002,75CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,66.99,32
337301003,90CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,66.99,32
337301004,105CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,94.99,45.75
337301005,120CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,81.99,39.22
337301006,135CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,81.99,39.22
337301007,150CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,94.99,45.75
337301008,180CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH WHITE/CHENILLE GREY,126.99,61
337301009,75CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,66.99,32
337301010,90CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,66.99,32
337301011,105CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,94.99,45.75
337301012,120CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,81.99,39.22
337301013,135CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,81.99,39.22
337301014,150CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,94.99,45.75
337301015,180CM H/B SUN COMBINATIONS CHENILLE GREY/FX LTH RED/CHENILLE GREY,126.99,61
337301016,75CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,66.99,32
337301017,90CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,66.99,32
337301018,105CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,94.99,45.75
337301019,120CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,81.99,39.22
337301020,135CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,81.99,39.22
337301021,150CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,94.99,45.75
337301022,180CM H/B SUN COMBINATIONS CHENILLE GREY/SILVER METALLIC/CHENILLE GREY,126.99,61
337301023,75CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,66.99,32
337301024,90CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,66.99,32
337301025,105CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,94.99,45.75
337301026,120CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,81.99,39.22
337301027,135CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,81.99,39.22
337301028,150CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,94.99,45.75
337301029,180CM H/B SUN COMBINATIONS CHENILLE GREY/EBONY METALLIC/CHENILLE GREY,126.99,61
337301030,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,66.99,32
337301031,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,66.99,32
337301032,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,94.99,45.75
337301033,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,81.99,39.22
337301034,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,81.99,39.22
337301035,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,94.99,45.75
337301036,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD LATTE/CHENILLE NATURAL,126.99,61
337301037,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,66.99,32
337301038,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,66.99,32
337301039,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,94.99,45.75
337301040,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,81.99,39.22
337301041,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,81.99,39.22
337301042,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,94.99,45.75
337301043,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD MOCHA/CHENILLE NATURAL,126.99,61
337301044,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,66.99,32
337301045,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,66.99,32
337301046,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,94.99,45.75
337301047,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,81.99,39.22
337301048,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,81.99,39.22
337301049,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,94.99,45.75
337301050,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD COFFEE/CHENILLE NATURAL,126.99,61
337301051,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,66.99,32
337301052,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,66.99,32
337301053,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,94.99,45.75
337301054,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,81.99,39.22
337301055,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,81.99,39.22
337301056,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,94.99,45.75
337301057,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD NOIR/CHENILLE NATURAL,126.99,61
337301058,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,66.99,32
337301059,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,66.99,32
337301060,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,94.99,45.75
337301061,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,81.99,39.22
337301062,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,81.99,39.22
337301063,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,94.99,45.75
337301064,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY PINK/CHENILLE NATURAL,126.99,61
337301065,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,66.99,32
337301066,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,66.99,32
337301067,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,94.99,45.75
337301068,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,81.99,39.22
337301069,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,81.99,39.22
337301070,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,94.99,45.75
337301071,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD BABY BLUE/CHENILLE NATURAL,126.99,61
337301072,75CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,66.99,32
337301073,90CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,66.99,32
337301074,105CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,94.99,45.75
337301075,120CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,81.99,39.22
337301076,135CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,81.99,39.22
337301077,150CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,94.99,45.75
337301078,180CM H/B SUN COMBINATIONS CHENILLE NATURAL/FX SD CHERRY/CHENILLE NATURAL,126.99,61
337301079,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,66.99,32
337301080,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,66.99,32
337301081,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,94.99,45.75
337301082,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,81.99,39.22
337301083,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,81.99,39.22
337301084,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,94.99,45.75
337301085,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD LATTE/CHENILLE MEADOW,126.99,61
337301086,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,66.99,32
337301087,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,66.99,32
337301088,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,94.99,45.75
337301089,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,81.99,39.22
337301090,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,81.99,39.22
337301091,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,94.99,45.75
337301092,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD MOCHA/CHENILLE MEADOW,126.99,61
337301093,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,66.99,32
337301094,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,66.99,32
337301095,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,94.99,45.75
337301096,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,81.99,39.22
337301097,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,81.99,39.22
337301098,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,94.99,45.75
337301099,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD COFFEE/CHENILLE MEADOW,126.99,61
337301100,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,66.99,32
337301101,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,66.99,32
337301102,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,94.99,45.75
337301103,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,81.99,39.22
337301104,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,81.99,39.22
337301105,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,94.99,45.75
337301106,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD NOIR/CHENILLE MEADOW,126.99,61
337301107,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,66.99,32
337301108,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,66.99,32
337301109,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,94.99,45.75
337301110,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,81.99,39.22
337301111,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,81.99,39.22
337301112,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,94.99,45.75
337301113,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY PINK/CHENILLE MEADOW,126.99,61
337301114,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,66.99,32
337301115,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,66.99,32
337301116,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,94.99,45.75
337301117,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,81.99,39.22
337301118,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,81.99,39.22
337301119,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,94.99,45.75
337301120,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD BABY BLUE/CHENILLE MEADOW,126.99,61
337301121,75CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,66.99,32
337301122,90CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,66.99,32
337301123,105CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,94.99,45.75
337301124,120CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,81.99,39.22
337301125,135CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,81.99,39.22
337301126,150CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,94.99,45.75
337301127,180CM H/B SUN COMBINATIONS CHENILLE MEADOW/FX SD CHERRY/CHENILLE MEADOW,126.99,61
337301128,75CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,66.99,32
337301129,90CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,66.99,32
337301130,105CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,94.99,45.75
337301131,120CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,81.99,39.22
337301132,135CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,81.99,39.22
337301133,150CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,94.99,45.75
337301134,180CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD LATTE/CHENILLE SAND,126.99,61
337301135,75CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,66.99,32
337301136,90CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,66.99,32
337301137,105CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,94.99,45.75
337301138,120CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,81.99,39.22
337301139,135CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,81.99,39.22
337301140,150CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,94.99,45.75
337301141,180CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD MOCHA/CHENILLE SAND,126.99,61
337301142,75CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,66.99,32
337301143,90CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,66.99,32
337301144,105CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,94.99,45.75
337301145,120CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,81.99,39.22
337301146,135CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,81.99,39.22
337301147,150CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,94.99,45.75
337301148,180CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD COFFEE/CHENILLE SAND,126.99,61
337301149,75CM H/B SUN COMBINATIONS CHENILLE SAND/FX SD NOIR/CHENILLE SAND,66.99,32
